Rerun completo iniciado em Sun Aug 16 20:26:36     2026

script                                                  status     duracao(s)
01_teste_oos_fit_lou.R                                  OK         0
02_herding_demanda_agregada_firesale.R                  OK         86
03_lideres_e_long_short.R                               OK         171
04_long_short_fama_macbeth.R                            ERRO(rc=1) 53
05_breadth_e_latent_demand.R                            OK         51
06_lideres_ponderados_por_skill.R                       OK         8
07_subamostra_small_caps.R                              OK         42
08_efit_fluxo_esperado.R                                OK         34
09_crowding_e_comomentum.R                              OK         19
10_diagnostico_comomentum_h6.R                          ERRO(rc=1) 1
11_cio_peer_momentum.R                                  OK         268
12_ownership_x_momentum.R                               OK         22
13_diagnostico_cio_peer_momentum.R                      OK         1
14_cio_robustez_periodo.R                               OK         0
15_cio_validacao_fatores_custos.R                       OK         17
16_cio_h2_e_janela_agregada.R                           OK         1
17_combinacao_cio_efit.R                                OK         51
18_window_dressing_calendario.R                         OK         0
19_stock_iq_cao_fang_lee.R                              OK         213
20_stock_iq_1d_refinado.R                               OK         120
21_ensemble_ml.R                                        OK         236
22_grid_search_cio.R                                    OK         472
23_h3_tentativas_adicionais.R                           OK         51
24_anomalias_classicas.R                                OK         66
25_low_volatility_brasil.R                              OK         67
26_persistencia_performance_fundos.R                    OK         3
27_persistencia_assimetria_risco.R                      OK         49
28_previsao_volatilidade.R                              OK         116
29_diagnostico_crowding_volatilidade.R                  OK         54
30_crowding_vol_fama_macbeth_correto.R                  OK         61
31_fragilidade_har_benchmark.R                          OK         57
32_fragilidade_managed_portfolio.R                      OK         51
33_52wh_x_hhi_double_sort.R                             OK         53
34_cio_momentum_x_hhi_combinado.R                       OK         53
35_diagnostico_cio_hhi_sharpe.R                         OK         1
36_reconciliacao_metodologia_cio.R                      OK         0
37_cio_corrigido_validacao_completa.R                   OK         89
38_cio_long_only_liquido.R                              OK         49
39_betting_against_correlation.R                        OK         104
40_covid_event_study.R                                  OK         67
41_cio_x_vol_prevista.R                                 OK         80
42_composto_3_sinais.R                                  OK         1
43_atencao_choque_posicao.R                             OK         120
44_cio_x_beta_fundo.R                                   OK         164
45_best_ideas_conviccao.R                               OK         103
55_construir_sinais_compostos.R                         OK         65
56_composto_ranking_percentil.R                         OK         1
57_composto_regressao_multipla_fm.R                     OK         5
58_composto_ic_weighted.R                               OK         2
59_robustez_composto_h6.R                               OK         50
60_centralidade_construcao.R                            OK         219
61_centralidade_testes_retorno.R                        OK         2
62_densidade_mercado_agregado.R                         OK         1
63_centralidade_subgrupo_hhi.R                          OK         349
64_centralidade_diagnostico_robustez.R                  OK         50
65_regime_vol_x_sinais_retorno.R                        OK         162
66_diagnostico_reversao_h6.R                            OK         54
67_choque_posse_wardlaw_corrigido.R                     OK         68
68_choque_posse_x_regime_vol.R                          OK         118
69_diagnostico_efit_x_hhi.R                             OK         124
70_dispersao_crencas_dms.R                              OK         63
71_dispersao_crencas_extensoes.R                        OK         63
72_diagnostico_delta_dispersao.R                        OK         53
73_hhi_trajetoria_delta.R                               OK         56
74_hhi_trajetoria_assimetria_e_vol.R                    OK         3
75_construir_setor_proxy.R                              OK         110
76_rotacao_setorial.R                                   ERRO(rc=1) 1
77_identificar_choques_mercado.R                        OK         0
78_multi_evento_choques_hhi.R                           OK         52
79_construir_fragilidade_donos.R                        OK         106
80_testar_fragilidade_donos.R                           ERRO(rc=1) 1
81_diagnostico_cotistas_churn.R                         OK         68
82_robustez_cotistas_covid_consistencia.R               OK         1
83_diagnostico_laum_retorno.R                           OK         54
84_cio_pairs_trading.R                                  OK         394
85_ml_walkforward.R                                     OK         54
86_ml_walkforward_robustez.R                            OK         22
87_cio_pairs_robustez.R                                 OK         2
91_verificacao_urgente_newey_west_hhi.R                 OK         61

Total: 79 scripts | OK: 75 | ERRO: 4 | Tempo total: 5759s (~95min)
