sinal,n_treino,n_teste,beta_treino,r2_oos_pct,coef_full,t_full,p_full
"Herding (LSV), h=1",7280,6040,0.0159275573783881,0.00411773145135852,0.0127107333827113,2.78905928352741,0.00529364336089579
"Herding (LSV), h=3",7227,5403,-0.00299531634066402,-0.0145883323824814,0.000579546653638594,0.125766657382142,0.899918637819383
"Herding (LSV), h=6",7142,4473,0.010471383975534,0.0876664818987516,0.012409224388999,2.59113864130024,0.00957785892886792
"Demanda agregada revelada, h=1",9280,7041,-0.00302144239465898,-0.0771414569700202,-8.42206717288678e-05,-0.0528694617417647,0.957836563485863
"Demanda agregada revelada, h=3",9219,6313,-0.000682090038403539,0.00777728737294536,-0.00150211491530939,-0.911046020098966,0.362285266756565
"Demanda agregada revelada, h=6",9117,5250,0.00442419283867468,0.175707353034493,0.00626367445133537,3.6514606485508,0.000261679103507015
"Fire sale extremo (P5), h=1",334,450,0.211917226809101,-0.644721486091071,0.193032776615903,4.32394076610066,1.73082911118657e-05
"Fire sale extremo (P5), h=3",324,284,-0.155601253749794,-0.134935476978293,-0.13585020740647,-2.96281987074569,0.00316790528378027
"Fire sale extremo (P5), h=6",315,203,-0.147119188216501,0.195869792336933,-0.142803315073821,-2.58032825382107,0.0101458708997781
"Fire sale extremo (P5), h=12",309,147,-0.0359759843265627,-0.0627450844791655,-0.0319471397433753,-0.677292119846797,0.49856560301372
