sinal,horizonte,spread_oos,spread_pp,p_valor,n_teste
Demanda agregada revelada,1,0.0128698509851934,1.28698509851934,0.00135629968568588,15148
Demanda agregada revelada,3,0.00251499178967359,0.251499178967359,0.892259054030754,14417
Demanda agregada revelada,6,0.0117438720637112,1.17438720637112,0.00248800276579194,13901
Demanda agregada revelada,12,-0.0212469606549592,-2.12469606549592,1.57154487426502e-07,13155
FIT (Lou),0,-0.0653352786480431,-6.53352786480431,1.11729906908882e-20,7115
FIT (Lou),1,-0.0873237259382299,-8.73237259382299,3.06402159274771e-26,6846
FIT (Lou),6,0.0204642250283917,2.04642250283917,0.000248398323838148,6725
FIT (Lou),12,0.00369628646301899,0.369628646301899,0.522694023324463,6545
Herding (LSV),1,0.0115874559615916,1.15874559615916,0.0132453866742139,12793
Herding (LSV),3,0.018715245015791,1.8715245015791,0.233967078524301,12275
Herding (LSV),6,0.00534021027325166,0.534021027325166,0.231325004414994,11833
