sinal,horizonte,n_meses,spread_medio_pp,t_fm,p_fm,pct_meses_positivo,spread_medio_anualizado_pp
FIT (Lou),0,24,-0.0270569229097791,-0.0237530995684411,0.981254430892413,45.8333333333333,-0.324200339551628
FIT (Lou),1,23,1.8459478986188,1.42843937278399,0.167209714787615,56.5217391304348,24.544643855078
FIT (Lou),3,24,1.61242756012104,1.61981931746913,0.118902804001513,62.5,21.1607417440928
FIT (Lou),6,24,1.07078334054455,0.733920092927815,0.470413500289021,45.8333333333333,13.6338130985969
FIT (Lou),12,23,1.37301639582863,1.31663528787434,0.201512935325426,52.1739130434783,17.7791542952837
Demanda agregada revelada,1,46,0.379152669028319,0.603652415984705,0.549105769042538,63.0434782608696,4.64592089957896
Demanda agregada revelada,3,45,1.14859118844278,1.02757510582606,0.309765783384994,57.7777777777778,14.6880209981287
Demanda agregada revelada,6,44,0.580886382665522,0.96787714321078,0.338518336822351,56.8181818181818,7.19770878626973
Demanda agregada revelada,12,43,-0.508321938899801,-0.825914026217718,0.41351995482673,51.1627906976744,-5.93218190715108
Herding (LSV),1,46,0.739851285078658,1.30235953651046,0.199419934578558,60.8695652173913,9.24854581029584
Herding (LSV),3,45,1.24989502277448,0.764404713868828,0.4487063223517,60,16.0740075993349
Herding (LSV),6,44,0.574272245173445,1.00550596874371,0.320278260749084,59.0909090909091,7.11314830600327
