sinal,horizonte,tipo,n_meses,spread_medio_pp,t_fm,p_fm,pct_meses_positivo
Breadth of ownership,1,fama_macbeth,24,0.202864218964215,0.257750634828985,0.798891562844982,54.1666666666667
Breadth of ownership,3,fama_macbeth,22,-0.574976375237252,-0.738815255670801,0.468197087759075,54.5454545454545
Breadth of ownership,6,fama_macbeth,19,0.429404187369458,0.506581002278113,0.618597762885469,57.8947368421053
Breadth of ownership,12,fama_macbeth,13,0.135948742166081,0.176921551083189,0.862520998490702,53.8461538461539
Latent demand (nivel),1,fama_macbeth,24,-0.802187690947819,-1.02880980402754,0.31426758418639,41.6666666666667
Latent demand (nivel),3,fama_macbeth,22,-1.3505945090189,-1.85579859606144,0.077571977177341,31.8181818181818
Latent demand (nivel),6,fama_macbeth,19,-0.472984995312113,-0.748513091715169,0.463819855842032,42.1052631578947
Latent demand (nivel),12,fama_macbeth,13,-0.187655668549728,-0.207626944732095,0.839002135371505,53.8461538461539
Latent demand (choque),1,fama_macbeth,24,0.649899668742512,1.28240931607249,0.21247402633464,54.1666666666667
Latent demand (choque),3,fama_macbeth,22,-0.134689683734498,-0.289650364651868,0.774924249549802,54.5454545454545
Latent demand (choque),6,fama_macbeth,19,0.187065619182198,0.325328941920152,0.748683245576495,42.1052631578947
Latent demand (choque),12,fama_macbeth,13,-0.0499870053894262,-0.061424130966876,0.952032628100284,38.4615384615385
