sinal,horizonte,tipo,n_treino,n_teste,beta_treino,r2_oos_pct,coef_full,t_full,p_full
Breadth of ownership,1,linear_oos,9268,15130,-0.00157941698384633,-0.00795966242985724,-0.000207808330049834,-0.236075144369216,0.813376342599956
Breadth of ownership,3,linear_oos,9208,14400,0.00176608715047075,-0.00128967917265577,0.000321831071496108,0.138864254851296,0.889558602287054
Breadth of ownership,6,linear_oos,9107,13885,-0.0010133346379216,-0.00558513750561485,0.00013794199509023,0.151417685037716,0.879647568221889
Breadth of ownership,12,linear_oos,8922,13140,-0.00354888629703567,-0.0625165807392358,-0.000801341340108667,-0.853239718550298,0.393535645630018
Latent demand (nivel),1,linear_oos,7322,13557,4.07888942556249,-0.134682265205321,-0.0293208078578424,-0.020025582822722,0.984023155887574
Latent demand (nivel),3,linear_oos,7271,13086,-0.619915027903688,-0.000973157041617156,0.908709201291792,0.208692992778375,0.83468999885104
Latent demand (nivel),6,linear_oos,7190,12632,1.32860829690197,-0.02663545803121,0.0358388466142373,0.0228200005584669,0.981794083761585
Latent demand (nivel),12,linear_oos,7031,11979,3.07437492483632,-0.0890214092293507,-0.630084984645312,-0.383676998862592,0.701222153746357
Latent demand (choque),1,linear_oos,6955,8371,12.7871042218503,-0.0199242244742104,7.63560712035891,1.85859247673479,0.0631040834859585
Latent demand (choque),3,linear_oos,6904,8285,-12.5063034345482,-0.0129124131994063,3.72305455286329,0.286671046746282,0.774368119441743
Latent demand (choque),6,linear_oos,6824,8172,0.897003567813905,-0.000592192327397711,0.104059736402998,0.0263778072583685,0.978956346266058
Latent demand (choque),12,linear_oos,6673,7920,18.2555507571717,-0.13391075742557,7.74687706636591,1.8406670573417,0.0656906570087051
