sinal,horizonte,n_meses,spread_medio_pp,t_fm,p_fm
E[FIT] (fluxo esperado),0,21,0.124519174365693,0.0647007479399425,0.949054609748153
E[FIT] (fluxo esperado),1,21,-0.562028670578902,-0.352627533433164,0.728056668582399
E[FIT] (fluxo esperado),3,19,-1.79978710238089,-1.29572223283783,0.211441375496359
E[FIT] (fluxo esperado),6,16,-0.521014213411009,-0.342784773279332,0.736516832109718
E[FIT] (fluxo esperado),12,11,-2.50399860336309,-0.926271065597659,0.376118526391536
FIT suavizado (MA3),0,23,0.855938227050236,0.512268007646045,0.613568078903507
FIT suavizado (MA3),1,23,-1.17289022406876,-0.709902848650103,0.485221590795511
FIT suavizado (MA3),3,22,1.81431048230514,2.10333426653389,0.0476665084152701
FIT suavizado (MA3),6,19,0.223451923811027,0.264778327455677,0.794188437941732
FIT suavizado (MA3),12,13,-0.330813690664143,-0.240162425500522,0.814257981162104
