sinal,horizonte,n_meses,spread_pp,t_fm,p_fm,sig_bonferroni
52-week high,1,62,1.14659308694557,1.50728729900263,0.136898774017818,FALSE
52-week high,3,60,0.234514455408269,0.32892820275978,0.743374700129016,FALSE
52-week high,6,58,1.39258701939689,1.5774257837696,0.120231863079685,FALSE
Reversao curto prazo,1,62,1.17331443073261,1.51343052907821,0.135334653217972,FALSE
Reversao curto prazo,3,60,-2.83762652530139,-1.76494713330297,0.0827479538896283,FALSE
Reversao curto prazo,6,58,1.05232230487111,1.72983154834701,0.0890724006805917,FALSE
Idio-vol,1,62,-0.917704891577901,-1.43703863787001,0.155816718052269,FALSE
Idio-vol,3,60,-0.403213436828847,-0.545845117391577,0.587230430612209,FALSE
Idio-vol,6,58,-1.15301370623864,-1.80775059730658,0.0759226252203278,FALSE
prox_52w_high|BAIXA-own,1,61,2.29287206164319,2.20871276293055,0.0310254138598259,FALSE
prox_52w_high|ALTA-own,1,61,0.671117840565692,0.543625087269558,0.588713769676574,FALSE
prox_52w_high|BAIXA-own,3,60,0.601663741522999,0.525052292041275,0.601514394342798,FALSE
prox_52w_high|ALTA-own,3,59,-0.337851609930858,-0.239576196044774,0.811503463564799,FALSE
ret_mes_anterior|BAIXA-own,1,62,3.10028698771526,2.33618882894973,0.0227838852044686,FALSE
ret_mes_anterior|ALTA-own,1,61,0.59329277420854,0.662081027444708,0.510454341017885,FALSE
ret_mes_anterior|BAIXA-own,3,60,-3.48155870276526,-2.15615307569362,0.0351597738481944,FALSE
ret_mes_anterior|ALTA-own,3,59,-8.35532141796365,-0.90070480816558,0.371470138008903,FALSE
idio_vol_12m|BAIXA-own,1,62,-1.25116996819727,-1.18985904697418,0.238712302618449,FALSE
idio_vol_12m|ALTA-own,1,62,1.05372807048203,0.654394696083537,0.515317350151902,FALSE
idio_vol_12m|BAIXA-own,3,60,-0.626360698680148,-0.570135493002888,0.570750619199995,FALSE
idio_vol_12m|ALTA-own,3,60,-0.36430913258048,-0.512905607893866,0.609932483439996,FALSE
