sinal,horizonte,n_meses,spread_pp,t_fm,p_fm,sig_bonferroni
Low-vol (Q5=baixa),1,62,0.563941628066099,0.62672020118721,0.533181238732017,FALSE
Low-vol (Q5=baixa),3,60,0.388567041585623,0.393030113790055,0.69571379079676,FALSE
Low-vol (Q5=baixa),6,58,8.95881545900681,1.18044242728533,0.24272698394123,FALSE
Low-vol (Q5=baixa),12,55,1.96544751995214,1.72292737874131,0.0906244121747979,FALSE
Low-vol|BAIXA-own,1,62,0.70687177897122,0.551962200182955,0.582990892617927,FALSE
Low-vol|ALTA-own,1,59,0.0101481576789357,0.00877762629172684,0.993026679775774,FALSE
Low-vol|BAIXA-own,3,60,0.0346309265953143,0.0222536232133105,0.982320735330892,FALSE
Low-vol|ALTA-own,3,57,0.367466173696218,0.367200472217778,0.714853525432154,FALSE
CIO dentro de Low-vol,1,45,0.5605392724266,0.49816834837275,0.62084642379962,FALSE
CIO dentro de Low-vol,3,45,-0.638016819854869,-0.615601127441279,0.54132919673234,FALSE
