sinal,variavel,horizonte,n_meses,coef_medio,t_fm,p_fm
SO crowding,hhi_posse,3,61,-0.055299037468647,-0.875201987285634,0.384954160914658
SO vol passada,vol_passada_12m,3,61,0.264745259301649,3.85550968461352,0.000284115721315655
OS DOIS (Fama-MacBeth correto),hhi_posse,3,61,-0.0731384703092052,-1.14934855328748,0.254973283990756
OS DOIS (Fama-MacBeth correto),vol_passada_12m,3,61,0.260246383066942,3.73031433566136,0.000426484519202826
SO crowding,hhi_posse,6,60,-0.167535863505153,-1.87444268390923,0.0658227654405111
SO vol passada,vol_passada_12m,6,60,0.12932153294921,1.02015017134728,0.311822227936817
OS DOIS (Fama-MacBeth correto),hhi_posse,6,60,-0.190240695218154,-2.11435266613452,0.0387207538431788
OS DOIS (Fama-MacBeth correto),vol_passada_12m,6,60,0.12651383124593,0.985458262634593,0.328423153197135
SO crowding,hhi_posse,12,58,-0.148540901740806,-2.10486685375349,0.0397228272794586
SO vol passada,vol_passada_12m,12,58,0.012806591168492,0.0821072525800139,0.934849074503151
OS DOIS (Fama-MacBeth correto),hhi_posse,12,58,-0.15228863143349,-2.13452366308443,0.0371129834192235
OS DOIS (Fama-MacBeth correto),vol_passada_12m,12,58,0.00797720543660944,0.050407422611144,0.959973949230094
