sinal,horizonte,n_meses,n_medio_grupo,spread_pp,t_fm,p_fm,sig_bonferroni
52wh|ALTO-HHI(tercil),1,61,27,1.93580601037127,2.01181721438013,0.0487362261799875,FALSE
52wh|BAIXO-HHI(tercil),1,61,27,-0.295331473713041,-0.189765543342278,0.850133393209995,FALSE
52wh|ALTO-HHI(tercil),3,59,27,0.0442204680808208,0.0386443166378034,0.969306679046653,FALSE
52wh|BAIXO-HHI(tercil),3,59,27,-1.69999298168456,-1.0297498496698,0.307402645992693,FALSE
52wh|ALTO-HHI(tercil),6,58,27,2.35530234248203,2.48418941778298,0.0159470006084797,FALSE
52wh|BAIXO-HHI(tercil),6,57,27,1.27846254323473,1.08062274412744,0.28449691722409,FALSE
52wh|ALTO-HHI(mediana),1,61,41,1.99436383441952,2.27739282434757,0.0263410237476188,FALSE
52wh|BAIXO-HHI(mediana),1,61,42,0.231767490936954,0.211375974395267,0.833310230748712,FALSE
52wh|ALTO-HHI(mediana),3,59,41,0.902305574593525,0.972548771140369,0.334816279531542,FALSE
52wh|BAIXO-HHI(mediana),3,59,41,-0.19692488311503,-0.181605283108961,0.856525689826587,FALSE
52wh|ALTO-HHI(mediana),6,58,40,2.15978255457732,2.35372985122523,0.0220572201811357,FALSE
52wh|BAIXO-HHI(mediana),6,57,41,0.608295066718063,0.44401238530685,0.658744675803573,FALSE
52wh|SEM condicionar,1,62,83,0.772739522089894,0.935859112264538,0.353036044834498,FALSE
52wh|SEM condicionar,3,60,82,0.216128118644351,0.277777059440826,0.782154581603937,FALSE
52wh|SEM condicionar,6,58,82,1.33854730371433,1.47749839501812,0.145046498476329,FALSE
