ym,ret_short,ret_long,n_short,n_long,ret_ls
202001,-0.0775308192738952,-0.0509673431499461,53,53,0.0265634761239491
202002,-0.357662013426713,-0.248595493108698,54,54,0.109066520318014
202003,0.110787773779027,0.0588811017768621,53,53,-0.051906672002165
202004,0.033947855633919,0.0738173828677692,53,53,0.0398695272338503
202005,0.126732772181068,0.143362978402777,53,53,0.016630206221709
202006,0.047832081363667,0.0827738834173101,54,54,0.0349418020536431
202007,-0.0170622568628146,-0.0161836385321373,54,54,0.000878618330677334
202008,-0.0430620761722727,-0.0491115791239609,54,54,-0.00604950295168817
202009,-0.0105440481026831,0.0289194209894856,57,57,0.0394634690921687
202010,0.169284341109988,0.11277869184413,57,56,-0.0565056492658577
202011,0.078939600083585,0.0549898786985332,57,56,-0.0239497213850518
202012,-0.0399899170322468,-0.0309701582276469,57,57,0.00901975880459985
202101,-0.0630107741961593,-0.0326549383569491,59,59,0.0303558358392102
202102,0.0484278571590134,0.0864053122130948,64,63,0.0379774550540814
202103,0.0712580973523974,0.108012486366674,64,64,0.0367543890142762
202104,0.035037644180939,0.0920643033926314,66,66,0.0570266592116925
202105,0.0438799639223251,0.0825403835779814,67,67,0.0386604196556563
202106,-0.0416136747714649,-0.0335939598712245,68,67,0.00801971490024035
202107,-0.0667911104376814,-0.0403070075966865,70,70,0.0264841028409949
202108,-0.0629637489263707,-0.0590939984017475,69,69,0.00386975052462319
202109,-0.141841769727383,-0.0740267717950052,70,69,0.0678149979323777
202110,-0.0401438563216938,-0.0583878065898309,70,70,-0.018243950268137
202111,0.0498940255835789,0.0458261464880926,70,70,-0.00406787909548633
202112,-0.0583052768580475,-0.0844176293251949,54,54,-0.0261123524671474
