ym,ret_ls_A,n_1_A,n_5_A,ret_ls_B,n_1_B,n_5_B
202001,0.0170979304779049,16,27,0.0265634761239491,53,53
202002,0.216369413907212,257,1,0.109066520318014,54,54
202003,,265,,-0.051906672002165,53,53
202004,-0.00166057364450755,1,242,0.0398695272338503,53,53
202005,0.0383397996946397,5,85,0.016630206221709,53,53
202006,,,259,0.0349418020536431,54,54
202007,0.0522980298572805,7,186,0.000878618330677334,54,54
202008,-0.0148121303984069,140,4,-0.00604950295168817,54,54
202009,0.0511702586736563,220,3,0.0394634690921687,57,57
202010,0.305725074139823,137,3,-0.0565056492658577,57,56
202011,-0.0294490504344027,6,272,-0.0239497213850518,57,56
202012,,,242,0.00901975880459985,57,57
202101,0.0964956356910661,169,3,0.0303558358392102,59,59
202102,0.0185687388682023,242,1,0.0379774550540814,64,63
202103,0.033529262516668,5,79,0.0367543890142762,64,64
202104,0.00352465776747384,7,169,0.0570266592116925,66,66
202105,0.0694290481364753,8,125,0.0386604196556563,67,67
202106,0.0272214235801987,1,46,0.00801971490024035,68,67
202107,0.0829962543179337,319,7,0.0264841028409949,70,70
202108,-0.00303710590146274,298,6,0.00386975052462319,69,69
202109,-0.00728092823694231,339,1,0.0678149979323777,70,69
202110,0.0167902229791158,336,1,-0.018243950268137,70,70
202111,0.00824145429509247,259,2,-0.00406787909548633,70,70
202112,-0.0461712244656932,3,75,-0.0261123524671474,54,54
