sinal,horizonte,n_meses,n_min_grupo_mes,spread_pp,sharpe,t_fm,p_fm,sig_bonferroni
individual|peer_ret,1,62,13,0.648912051396452,0.541821566130181,1.23157682770481,0.222834063384475,FALSE
individual|prox_52w_high,1,43,13,1.20150890265165,0.551773473910707,1.04449032866091,0.302233194593492,FALSE
individual|reversao,1,62,13,0.792138172456685,0.295389785260038,0.671429927135006,0.50448150501628,FALSE
COMPOSTO(pesos do treino),1,62,13,0.805674431763564,0.541117972143683,1.22997753726668,0.223428138801734,FALSE
"COMPOSTO(soma simples, sem peso)",1,62,13,1.26567727339483,0.932469236159366,2.11953081159851,0.0381233158712858,FALSE
individual|peer_ret,3,60,12,0.48323615387413,0.339149257411269,0.758360794090172,0.451253820340547,FALSE
individual|prox_52w_high,3,42,12,-0.956821032961511,-0.307691828659392,-0.575638701776699,0.56800565516969,FALSE
individual|reversao,3,60,12,0.0154055977914087,0.00924664439906607,0.0206761254400794,0.983573780954064,FALSE
COMPOSTO(pesos do treino),3,60,12,-0.699866551039014,-0.481388729680134,-1.07641792316705,0.286122300486638,FALSE
"COMPOSTO(soma simples, sem peso)",3,60,12,0.217484687851575,0.0819127270243136,0.183162425848749,0.855298558649695,FALSE
