sinal,horizonte,n_meses,spread_medio_pp,t_fm,p_fm,n_min_grupo_mes,n_mediana_grupo_mes,pct_meses_positivo
Centralidade: grau ponderado (nivel),1,24,-1.21934637011377,-1.40263569021422,0.174080140471722,53,57,0.375
Centralidade: autovetor (nivel),1,24,-1.5054558349583,-1.6959334342597,0.103394673206346,53,57,0.375
Centralidade: grau ponderado (delta m/m),1,24,0.308754407838911,0.525050965369364,0.604572709711879,52,56,0.458333333333333
Centralidade: autovetor (delta m/m),1,24,0.266530382746257,0.476598285106473,0.638144984037086,52,56.5,0.583333333333333
Centralidade: grau ponderado (nivel),3,22,-1.02325046643606,-1.16767001336252,0.256027070114682,52,57,0.363636363636364
Centralidade: autovetor (nivel),3,22,-1.12622903725657,-1.2067600129849,0.240943153807555,52,57,0.363636363636364
Centralidade: grau ponderado (delta m/m),3,22,0.0409347821505292,0.0802666640818397,0.936785199929216,52,56,0.454545454545455
Centralidade: autovetor (delta m/m),3,22,0.365471217566552,0.656239727542157,0.518796489775433,52,56,0.590909090909091
Centralidade: grau ponderado (nivel),6,19,-1.28844281350206,-1.64637065970541,0.117035027823433,52,56.5,0.421052631578947
Centralidade: autovetor (nivel),6,19,-1.9060279564292,-2.50065272574154,0.0222777725810181,52,56,0.263157894736842
Centralidade: grau ponderado (delta m/m),6,19,0.369058123391038,0.548688472871683,0.589960979825542,50,54,0.526315789473684
Centralidade: autovetor (delta m/m),6,19,0.163333961746845,0.261495997660353,0.79667874513873,50,54,0.578947368421053
Centralidade: grau ponderado (nivel),12,13,-1.90746026537037,-2.03570081079301,0.0644776176083357,44,53.5,0.307692307692308
Centralidade: autovetor (nivel),12,13,-2.39683159211141,-2.19273869966838,0.04876784483205,44,53,0.307692307692308
Centralidade: grau ponderado (delta m/m),12,13,-0.294432380925572,-0.371376411236242,0.716831273747599,42,52,0.538461538461538
Centralidade: autovetor (delta m/m),12,13,0.215906760103491,0.239565165965681,0.814710423733419,42,52,0.461538461538462
