sinal,horizonte,n_meses,spread_medio_pp,t_fm,p_fm,n_min_grupo_mes,n_mediana_grupo_mes
[A] deg_avg,1,24,-1.21934637011377,-1.40263569021422,0.174080140471722,53,57
[A] eigen_cent,1,24,-1.5054558349583,-1.6959334342597,0.103394673206346,53,57
[A] deg_avg_neutro,1,24,0.0291941484443224,0.0559641043503805,0.955853729989774,53,57
[A] eigen_cent_neutro,1,24,0.200920679345865,0.441085428584073,0.663269665079858,53,57
[A] deg_avg,3,22,-1.02325046643606,-1.16767001336252,0.256027070114682,52,57
[A] eigen_cent,3,22,-1.12622903725657,-1.2067600129849,0.240943153807555,52,57
[A] deg_avg_neutro,3,22,-0.273982594948248,-0.631783214514088,0.534346454077141,52,57
[A] eigen_cent_neutro,3,22,0.12083082163005,0.263351032271659,0.794846765868697,52,57
[A] deg_avg,6,19,-1.28844281350206,-1.64637065970541,0.117035027823433,52,56.5
[A] eigen_cent,6,19,-1.9060279564292,-2.50065272574154,0.0222777725810181,52,56
[A] deg_avg_neutro,6,19,0.414100616794379,0.77617617746222,0.447724449165519,52,56
[A] eigen_cent_neutro,6,19,-0.213083311469,-0.327462356634402,0.747096016232173,52,56
[A] deg_avg,12,13,-1.90746026537037,-2.03570081079301,0.0644776176083357,44,53.5
[A] eigen_cent,12,13,-2.39683159211141,-2.19273869966838,0.04876784483205,44,53
[A] deg_avg_neutro,12,13,-0.197083357086837,-0.34847004261272,0.733524458225374,44,53
[A] eigen_cent_neutro,12,13,-1.06782270918865,-1.36113357405379,0.198484324210018,44,53
