sinal,horizonte,n_meses,n_min_grupo_mes,spread_pp,sharpe,t_fm,p_fm,sig_bonferroni
Breadth of ownership|baseline,1,46,11,0.556465362255251,0.57991762552587,1.13541493187131,0.262212877020692,FALSE
Breadth of ownership|BAIXO-HHI(tercil),1,46,4,0.811027466761503,0.683996143984185,1.33918922453478,0.187234463859406,FALSE
Breadth of ownership|ALTO-HHI(tercil),1,44,5,-0.696371533658222,-0.469729139279377,-0.899462822498257,0.373415829492571,FALSE
Breadth of ownership|BAIXO-HHI(mediana),1,46,5,0.974022143680189,0.775769869809634,1.51887208649503,0.135789926919246,FALSE
Breadth of ownership|ALTO-HHI(mediana),1,45,8,0.399990269274953,0.344692160934209,0.66749349943322,0.50794292868342,FALSE
Breadth of ownership|baseline,3,45,11,0.217718236735449,0.249312789535181,0.482792140933135,0.631636826400629,FALSE
Breadth of ownership|BAIXO-HHI(tercil),3,45,4,-0.22499359174412,-0.167154443157906,-0.323693187297573,0.747703922824201,FALSE
Breadth of ownership|ALTO-HHI(tercil),3,43,5,-0.285886919061658,-0.246732113635363,-0.467056353100269,0.642873578986441,FALSE
Breadth of ownership|BAIXO-HHI(mediana),3,45,5,0.666743318703715,0.509456639039182,0.986558539306777,0.329253367647503,FALSE
Breadth of ownership|ALTO-HHI(mediana),3,44,7,-0.0471062548646057,-0.0512061573512705,-0.0980523262642858,0.922346390012429,FALSE
Breadth of ownership|baseline,6,44,11,0.0179683380637088,0.0194557377262943,0.0372549014011037,0.970454186495096,FALSE
Breadth of ownership|BAIXO-HHI(tercil),6,44,4,-0.80186317007599,-0.621703136224438,-1.19047087119682,0.240392219808427,FALSE
Breadth of ownership|ALTO-HHI(tercil),6,42,5,0.313897197987626,0.232533575422633,0.435030485076525,0.665821728835589,FALSE
Breadth of ownership|BAIXO-HHI(mediana),6,44,5,-0.845829218459498,-0.642939320177796,-1.23113506756131,0.224963779907357,FALSE
Breadth of ownership|ALTO-HHI(mediana),6,43,7,0.598133584949392,0.620580662717996,1.17474023491716,0.246716135527874,FALSE
Herding (LSV)|baseline,1,46,9,0.775155369871971,0.718095332153402,1.4059516847668,0.166606101869116,FALSE
Herding (LSV)|BAIXO-HHI(tercil),1,46,3,0.874721085363687,0.628529841205805,1.23059230383736,0.22486926336076,FALSE
Herding (LSV)|ALTO-HHI(tercil),1,46,3,0.720913692928441,0.376375959445293,0.73690273504631,0.465006298821658,FALSE
Herding (LSV)|BAIXO-HHI(mediana),1,46,5,0.729099164762847,0.577030989092086,1.12976321520408,0.264562258774732,FALSE
Herding (LSV)|ALTO-HHI(mediana),1,46,5,0.523219956414113,0.357861366302501,0.700653197893882,0.487126647964298,FALSE
Herding (LSV)|baseline,3,45,9,1.44796917735077,0.434453258894214,0.841315118201414,0.404720699083504,FALSE
Herding (LSV)|BAIXO-HHI(tercil),3,45,3,3.92894900879924,0.47406274327631,0.918018554883275,0.363614184758809,FALSE
Herding (LSV)|ALTO-HHI(tercil),3,45,3,-0.97484283062044,-0.423323310119675,-0.819762065077449,0.416770402947781,FALSE
Herding (LSV)|BAIXO-HHI(mediana),3,45,5,3.68939174200733,0.657799414706656,1.27382308915193,0.209413947710013,FALSE
Herding (LSV)|ALTO-HHI(mediana),3,45,5,-0.510500222217695,-0.228873296264828,-0.443211232412637,0.659784586517541,FALSE
Herding (LSV)|baseline,6,44,9,0.688012053627845,0.608503953286232,1.16519636010627,0.250362762838736,FALSE
Herding (LSV)|BAIXO-HHI(tercil),6,44,3,0.647239577423915,0.384230045850833,0.735744523024097,0.465880769018529,FALSE
Herding (LSV)|ALTO-HHI(tercil),6,44,3,0.839431591206864,0.63562079278525,1.21712115453235,0.230196008888671,FALSE
