sinal,horizonte,n_grupos,n_meses,n_min_grupo_mes,spread_pp,sharpe,t_fm,p_fm,sig_bonferroni
Choque posse|BRUTO(contaminado),1,5,60,14,0.748150352023627,0.517756111914333,1.15773786200644,0.251636387622511,FALSE
Choque posse|BRUTO(contaminado),1,10,59,7,0.0246627789349248,0.0120798005913348,0.026785215693952,0.978722993806055,FALSE
Choque posse|BRUTO(contaminado),3,5,59,13,0.0265818892403485,0.0158466861648252,0.0351377412027549,0.972090559216422,FALSE
Choque posse|BRUTO(contaminado),3,10,58,7,-0.394493494973748,-0.230729754833113,-0.507255749629827,0.613932403061846,FALSE
Choque posse|BRUTO(contaminado),6,5,57,12,1.04640637955973,0.764536488665659,1.66626864637152,0.101244524353103,FALSE
Choque posse|BRUTO(contaminado),6,10,57,6,1.47782707621623,0.943837645552655,2.05704645803669,0.0443507096507105,FALSE
Choque posse|CORRIGIDO(Wardlaw-safe),1,5,61,14,0.320756334944548,0.313079747989659,0.705877388118113,0.482996231190203,FALSE
Choque posse|CORRIGIDO(Wardlaw-safe),1,10,60,7,0.207354595915333,0.192432823276349,0.43029287394812,0.668550335071015,FALSE
Choque posse|CORRIGIDO(Wardlaw-safe),3,5,59,13,-0.115670965847545,-0.118833628375797,-0.263496433047405,0.79310186418265,FALSE
Choque posse|CORRIGIDO(Wardlaw-safe),3,10,59,7,-0.461910304351641,-0.340017899666715,-0.753940656016336,0.453934891239253,FALSE
Choque posse|CORRIGIDO(Wardlaw-safe),6,5,57,12,0.289648245521269,0.289967626657907,0.631969790750073,0.529978289348588,FALSE
Choque posse|CORRIGIDO(Wardlaw-safe),6,10,57,6,-0.11244736783648,-0.0902203195250666,-0.196630627731857,0.844828475952691,FALSE
