sinal,horizonte,n_meses,n_min_grupo_mes,spread_pp,sharpe,t_fm,p_fm,sig_bonferroni
Choque posse(corrigido)|baseline,1,61,14,0.320756334944548,0.313079747989659,0.705877388118113,0.482996231190203,FALSE
Choque posse(corrigido)|BAIXO-HHI(tercil),1,62,5,3.39375052650384,0.473854280937742,1.07708513022058,0.285683493705953,FALSE
Choque posse(corrigido)|ALTO-HHI(tercil),1,60,5,0.0675694458040977,0.0410690135106866,0.0918331059787526,0.927141738660082,FALSE
Choque posse(corrigido)|BAIXO-HHI(mediana),1,62,7,2.53286122200165,0.508407645086752,1.15562597330497,0.252340619595219,FALSE
Choque posse(corrigido)|ALTO-HHI(mediana),1,60,7,0.1415203380653,0.114322084111017,0.255631951401682,0.799124161170347,FALSE
Choque posse(corrigido)|baseline,3,59,13,-0.115670965847545,-0.118833628375797,-0.263496433047405,0.79310186418265,FALSE
Choque posse(corrigido)|BAIXO-HHI(tercil),3,60,5,0.0738018782457454,0.0617843802864326,0.138154074268161,0.890589091980396,FALSE
Choque posse(corrigido)|ALTO-HHI(tercil),3,59,4,0.241083055460262,0.150503103237144,0.333718926263381,0.739795222438333,FALSE
Choque posse(corrigido)|BAIXO-HHI(mediana),3,60,7,0.16008220470408,0.139063308033834,0.310955009939646,0.756930805525717,FALSE
Choque posse(corrigido)|ALTO-HHI(mediana),3,59,7,-0.309597045279334,-0.225267175784591,-0.499497474857813,0.619318554905193,FALSE
Choque posse(corrigido)|baseline,6,57,12,0.289648245521269,0.289967626657907,0.631969790750073,0.529978289348588,FALSE
Choque posse(corrigido)|BAIXO-HHI(tercil),6,58,4,0.129571772468825,0.101318641538546,0.222747445392487,0.824528352861163,FALSE
Choque posse(corrigido)|ALTO-HHI(tercil),6,57,4,0.047170873186112,0.0341883776572684,0.0745118416258183,0.940868653424376,FALSE
Choque posse(corrigido)|BAIXO-HHI(mediana),6,58,6,-0.0542089049884791,-0.043123256761489,-0.094805804092543,0.924801578809797,FALSE
Choque posse(corrigido)|ALTO-HHI(mediana),6,57,6,0.86637290615521,0.727299031578921,1.58511149019376,0.118572416460266,FALSE
Choque posse|MAGNITUDE(|choque|)|baseline,1,61,14,-0.208216370044735,-0.293779545016434,-0.66236267037489,0.510275128995657,FALSE
Choque posse|MAGNITUDE(|choque|)|BAIXO-HHI(tercil),1,62,5,2.5408243670245,0.365683282369297,0.831209174750443,0.409097341818703,FALSE
Choque posse|MAGNITUDE(|choque|)|ALTO-HHI(tercil),1,61,1,-0.701626155204206,-0.465314620664134,-1.04910991910731,0.298335073276167,FALSE
Choque posse|MAGNITUDE(|choque|)|BAIXO-HHI(mediana),1,62,7,1.93691420536435,0.405712729409718,0.922197320078299,0.360058869492662,FALSE
Choque posse|MAGNITUDE(|choque|)|ALTO-HHI(mediana),1,61,1,-0.241480662915165,-0.202583369216005,-0.45674950378165,0.649500406513922,FALSE
Choque posse|MAGNITUDE(|choque|)|baseline,3,59,13,-1.4895193463696,-0.531902906664216,-1.17941798587809,0.243047105193881,FALSE
Choque posse|MAGNITUDE(|choque|)|BAIXO-HHI(tercil),3,60,5,-4.30751873912813,-0.562138231280653,-1.25697929789504,0.213714588449535,FALSE
Choque posse|MAGNITUDE(|choque|)|ALTO-HHI(tercil),3,59,2,-0.450704675912182,-0.250627085775799,-0.555729417923246,0.580533309207857,FALSE
Choque posse|MAGNITUDE(|choque|)|BAIXO-HHI(mediana),3,60,7,-2.88150019291045,-0.549102412111676,-1.22783032009081,0.224386733776889,FALSE
Choque posse|MAGNITUDE(|choque|)|ALTO-HHI(mediana),3,59,7,-0.0832793991214813,-0.0650876151027299,-0.144322399724224,0.885746208204085,FALSE
Choque posse|MAGNITUDE(|choque|)|baseline,6,57,12,-1.41684845416529,-0.472567258650772,-1.02993646224238,0.307467790382598,FALSE
Choque posse|MAGNITUDE(|choque|)|BAIXO-HHI(tercil),6,58,4,0.0305668573722854,0.0249019549044607,0.0547465575536491,0.956531818309546,FALSE
Choque posse|MAGNITUDE(|choque|)|ALTO-HHI(tercil),6,57,2,0.419639037559843,0.277520676421519,0.604842291632226,0.547726912810562,FALSE
Choque posse|MAGNITUDE(|choque|)|BAIXO-HHI(mediana),6,58,6,-1.73573174680721,-0.323545871231916,-0.711310526767947,0.479792734437465,FALSE
Choque posse|MAGNITUDE(|choque|)|ALTO-HHI(mediana),6,57,6,0.46067161256553,0.339888463789732,0.740769732867362,0.461927968552792,FALSE
