sinal,horizonte,n_meses,n_min_grupo_mes,spread_pp,sharpe,t_fm,p_fm,sig_bonferroni
Dispersao (ponderada) | small caps,1,62,5,0.781799111075474,0.380829589038145,0.86563718848178,0.390080996905631,FALSE
Dispersao (ponderada) | small caps,3,60,4,1.22175942130476,0.449260259613777,1.00457648008561,0.319203193493054,FALSE
Dispersao (ponderada) | small caps,6,58,4,-1.54969450460166,-0.777604164348442,-1.70955056744695,0.092788449737337,FALSE
Dispersao (ponderada) | large caps,1,62,5,0.55534423282551,0.629451998191532,1.43076345347782,0.15760105974745,FALSE
Dispersao (ponderada) | large caps,3,60,5,3.56587257542457,0.46987525507569,1.0506730112943,0.297693354835487,FALSE
Dispersao (ponderada) | large caps,6,58,5,0.32786633613101,0.338647172084733,0.744510500000796,0.459626254980944,FALSE
Delta dispersao 3m (desacordo crescente),1,49,13,-0.292963292197054,-0.320979746649528,-0.64861210096383,0.51968032043676,FALSE
Delta dispersao 3m (desacordo crescente),3,48,13,-0.862832054409059,-0.275734863909376,-0.551469727818752,0.583924208304723,FALSE
Delta dispersao 3m (desacordo crescente),6,47,11,-0.247161464922663,-0.195626744578897,-0.387156481083903,0.700425839637618,FALSE
Delta dispersao 6m (desacordo crescente),1,49,13,0.10470717043461,0.0941375395718805,0.19022616834436,0.84993413532304,FALSE
Delta dispersao 6m (desacordo crescente),3,48,13,-0.735665453290381,-0.229526510674296,-0.459053021348592,0.648312141705482,FALSE
Delta dispersao 6m (desacordo crescente),6,47,11,-0.578707683569712,-0.57373556185027,-1.1354553881515,0.262066193050391,FALSE
