sinal,horizonte,variavel,n_meses,coef_medio,t_fm,p_fm,sig_bonferroni
Delta HHI 3m sozinho,1,delta_hhi_3m_z,39,0.00129782958498872,0.705071422065525,0.485065370035295,FALSE
Delta HHI 6m sozinho,1,delta_hhi_6m_z,39,0.00226422016303525,0.767753410811923,0.447378401925193,FALSE
Delta HHI 3m sozinho,3,delta_hhi_3m_z,39,-0.00208112654291373,-0.556879847669403,0.580874807003544,FALSE
Delta HHI 6m sozinho,3,delta_hhi_6m_z,39,-0.00276297214248964,-0.609382925583637,0.545897178698866,FALSE
Delta HHI 3m sozinho,6,delta_hhi_3m_z,39,0.00163532210235469,0.740254936776039,0.463694749567681,FALSE
Delta HHI 6m sozinho,6,delta_hhi_6m_z,39,0.00391300338959202,0.754753264439931,0.455049460914456,FALSE
Delta HHI 3m sozinho,12,delta_hhi_3m_z,38,0.000544608525196412,0.21733965471772,0.829137743156647,FALSE
Delta HHI 6m sozinho,12,delta_hhi_6m_z,38,-0.000335869109104915,-0.14271875728414,0.887286682499513,FALSE
Delta HHI 3m + nivel HHI (controlado),1,delta_hhi_3m_z,39,0.000674119948098082,0.320568047731508,0.750294022273871,FALSE
Delta HHI 3m + nivel HHI (controlado),1,hhi_posse_z,39,0.00474135571052609,1.26429052409326,0.213825789329746,FALSE
Delta HHI 3m + nivel HHI (controlado),3,delta_hhi_3m_z,39,-0.00245704787694483,-0.819568507790232,0.417573067783627,FALSE
Delta HHI 3m + nivel HHI (controlado),3,hhi_posse_z,39,-0.000264750350706526,-0.0782551484116264,0.938035721488165,FALSE
Delta HHI 3m + nivel HHI (controlado),6,delta_hhi_3m_z,39,0.00113804992917131,0.546810575673328,0.587705767211329,FALSE
Delta HHI 3m + nivel HHI (controlado),6,hhi_posse_z,39,0.00338954020324292,1.27189184480588,0.211140602912181,FALSE
