sinal,horizonte,n_meses,n_min_grupo,spread_medio_pp,t_fm,p_fm,pct_meses_positivo
Tamanho medio dos fundos donos (log AUM),1,24,44,-0.982230263065348,-2.14114138566763,0.0430874578128114,29.1666666666667
Fluxo medio recente dos fundos donos,1,24,44,0.560919168378509,1.0072083967393,0.324314145514594,50
N. medio de cotistas dos fundos donos (log),1,24,44,-0.318078382438664,-0.507959706248707,0.616318718401746,54.1666666666667
Taxa media de saida/churn dos fundos donos,1,24,44,0.0397970567243475,0.0456112369266128,0.964013823987191,54.1666666666667
Tamanho medio dos fundos donos (log AUM),3,22,44,-1.22867505159324,-2.61069819449854,0.0163286702772227,31.8181818181818
Fluxo medio recente dos fundos donos,3,22,44,1.30548546273358,2.26367673784251,0.0343077678546058,59.0909090909091
N. medio de cotistas dos fundos donos (log),3,22,44,0.536546050945061,0.941310949052601,0.357248705306191,63.6363636363636
Taxa media de saida/churn dos fundos donos,3,22,44,0.684380760831829,0.93677947151763,0.359521232675765,59.0909090909091
Tamanho medio dos fundos donos (log AUM),6,19,44,-0.851220419713461,-1.3039501789015,0.208680496361763,36.8421052631579
Fluxo medio recente dos fundos donos,6,19,44,0.348823634134021,0.582882101871354,0.567204033621897,63.1578947368421
N. medio de cotistas dos fundos donos (log),6,19,44,-0.176135310438652,-0.283099018842021,0.780331013137138,47.3684210526316
Taxa media de saida/churn dos fundos donos,6,19,44,-1.53416900929889,-2.54757647054013,0.0202018592498263,31.5789473684211
