sinal,horizonte,n_treino,n_teste,beta_treino,r2_oos_pct,coef_full,t_full,p_full
Tamanho medio dos fundos donos (log AUM),1,7678,6231,0.00192296468054107,-0.427291862574797,-0.0111214210974679,-7.69995272940459,1.45276009641588e-14
Fluxo medio recente dos fundos donos,1,7678,6231,-0.113196449671816,0.530874339812959,-0.43673116710972,-11.2586259780265,2.81112141561084e-29
N. medio de cotistas dos fundos donos (log),1,7678,6231,0.0036935777177819,-0.680649829319435,-0.00286156972795771,-2.43137308608389,0.0150542616006231
Taxa media de saida/churn dos fundos donos,1,7459,6231,0.0514490908674066,0.16997805268848,0.111417903477943,4.65774674860119,3.22697298490221e-06
Tamanho medio dos fundos donos (log AUM),3,7625,5581,-0.00949782561174043,-0.13597161238188,-0.00779483843344437,-5.34093310866387,9.40029433756778e-08
Fluxo medio recente dos fundos donos,3,7625,5581,-0.517070598713241,-5.46930813875843,0.115647438997076,2.8838485107939,0.00393482513649877
N. medio de cotistas dos fundos donos (log),3,7625,5581,-0.00433641261897595,-0.263792794971729,-0.00128161059156257,-1.06851136335842,0.285309441124622
Taxa media de saida/churn dos fundos donos,3,7408,5581,-0.0455673997504022,-0.290383649517123,0.075221036807922,3.08725741383682,0.00202438186376554
Tamanho medio dos fundos donos (log AUM),6,7540,4629,-0.00352504498853458,0.820985672989949,-0.0112629306176488,-7.46613210498657,8.8213982539338e-14
Fluxo medio recente dos fundos donos,6,7540,4629,-0.385132531575231,-1.36199791346519,-0.179169268754977,-4.33353842504963,1.47909608623215e-05
N. medio de cotistas dos fundos donos (log),6,7540,4629,0.00123584751866432,-0.284352829429357,-0.00428437312569431,-3.42350588933811,0.000620226456299399
Taxa media de saida/churn dos fundos donos,6,7324,4629,-0.0705456766879602,-0.0203999117913689,-0.0525322871113216,-2.10198988932734,0.0355750336094473
