sinal,horizonte,n_meses,n_min_grupo,spread_medio,t_fm,p_fm
Tamanho medio dos fundos donos (log AUM),3,23,44,0.00105555082056102,0.320564677810048,0.751565345051548
Fluxo medio recente dos fundos donos,3,23,44,0.00327421345129443,0.662945562947034,0.514252041188003
N. medio de cotistas dos fundos donos (log),3,23,44,-0.00950794388618935,-3.05677498379649,0.00577964617201212
Taxa media de saida/churn dos fundos donos,3,23,44,0.0138159652044201,2.52320936083856,0.0193588619214504
Tamanho medio dos fundos donos (log AUM),6,21,43,0.000841564274143591,0.373031189354435,0.713049539934931
Fluxo medio recente dos fundos donos,6,21,43,-0.001989603558484,-0.476582267880367,0.638825167119361
N. medio de cotistas dos fundos donos (log),6,21,43,-0.0104609210065897,-5.06796632086348,5.88008152625122e-05
Taxa media de saida/churn dos fundos donos,6,21,43,0.013176162136806,2.8955845614907,0.00894170421416463
Tamanho medio dos fundos donos (log AUM),12,17,41,-1.13661854610211e-05,-0.00542060740917663,0.99574201328348
Fluxo medio recente dos fundos donos,12,17,41,0.00108028194564659,0.271815548102178,0.789240004556605
N. medio de cotistas dos fundos donos (log),12,17,41,-0.0146363472111978,-4.73375331267825,0.000224768149126894
Taxa media de saida/churn dos fundos donos,12,17,41,0.00833018405253297,2.2056367899067,0.0423804025172629
