corte,K,h,tipo,n_meses,estatistica,t_fm,p_fm,n_par_mes_min,n_par_mes_mediana
top1pct,3,1,regressao_beta,62,-0.0236695567567299,-1.46796904871915,0.147250359850083,28,432.5
top1pct,3,1,portfolio_todos,62,0.0535104065562332,0.167839463141287,0.86726479652239,28,432.5
top1pct,3,1,portfolio_top_tercil_div,62,0.454416591015304,0.685814422826473,0.495428497116903,9,144
top1pct,3,3,regressao_beta,60,-0.0027709226897799,-0.178857926206097,0.858662039227084,28,418
top1pct,3,3,portfolio_todos,60,0.0125545493431742,0.0366173198868242,0.970913746488216,28,418
top1pct,3,3,portfolio_top_tercil_div,60,0.330877054534193,0.487899056671643,0.627429599188653,9,139
top1pct,6,1,regressao_beta,62,0.015849545597631,1.44626674479332,0.15322130369361,28,427.5
top1pct,6,1,portfolio_todos,62,-0.40316003630313,-1.36333143569779,0.177788943070803,28,427.5
top1pct,6,1,portfolio_top_tercil_div,62,-1.26795410895187,-1.9752699147173,0.0527671764402105,9,142.5
top1pct,6,3,regressao_beta,60,0.0140195011563887,1.14272958578193,0.257766895574928,26,408
top1pct,6,3,portfolio_todos,60,-0.073637141215636,-0.206210074768919,0.837336757597515,26,408
top1pct,6,3,portfolio_top_tercil_div,60,-0.580599760727035,-0.720490070531339,0.474068307981432,9,136
top5pct,3,1,regressao_beta,62,0.0154968438289235,1.22253844206144,0.226206741083304,163,2178.5
top5pct,3,1,portfolio_todos,62,-0.493821815069204,-1.58011426706215,0.119252613434007,163,2178.5
top5pct,3,1,portfolio_top_tercil_div,62,-0.71846588702872,-1.19943120961031,0.234998563590358,54,726
top5pct,3,3,regressao_beta,60,-0.0225690586450294,-0.780114286871048,0.438442115230042,140,2111
top5pct,3,3,portfolio_todos,60,0.866740433485534,0.947151988457956,0.347424600128843,140,2111
top5pct,3,3,portfolio_top_tercil_div,60,1.17206538016483,1.03716012203167,0.303893393862986,47,703.5
top5pct,6,1,regressao_beta,62,0.0197343809886611,2.35396356770756,0.0218114396966561,128,2122
top5pct,6,1,portfolio_todos,62,-0.524983370323647,-1.95050498678821,0.0557145478268815,128,2122
top5pct,6,1,portfolio_top_tercil_div,62,-1.15455244076207,-2.12271107240906,0.0378449973949438,43,707.5
top5pct,6,3,regressao_beta,60,-0.00550939539747001,-0.220920147215984,0.825917368554515,114,2040.5
top5pct,6,3,portfolio_todos,60,0.555948623689858,0.645805943821018,0.520908973070502,114,2040.5
top5pct,6,3,portfolio_top_tercil_div,60,0.558109152360297,0.386800750349434,0.700295345153154,38,680
