Feature,gain_medio,n_refits_apareceu,horizonte
peer_ret,0.394070805958033,4,1
EFIT,0.121342648724073,4,1
prox_52w_high,0.0757712070814965,4,1
mom_12m,0.0746514394717976,4,1
idio_vol_12m,0.0738179923972225,4,1
reversao,0.0663909704489242,4,1
dem_pct_w,0.0532051878920858,4,1
delta_breadth_w,0.0406243286718975,4,1
eigen_cent,0.029802254964854,4,1
deg_avg,0.0288586974272868,4,1
log_tamanho,0.0213356705166241,4,1
hhi_posse,0.0201287964457054,4,1
EFIT,0.278198491940544,4,3
peer_ret,0.277187887879806,4,3
mom_12m,0.105316610247038,4,3
reversao,0.082513897667014,4,3
prox_52w_high,0.078069096311936,4,3
delta_breadth_w,0.0375482736351485,4,3
idio_vol_12m,0.0368936773099326,4,3
dem_pct_w,0.0253319780701996,4,3
deg_avg,0.0234728634620613,4,3
eigen_cent,0.021987561344623,4,3
log_tamanho,0.0215311660575491,4,3
hhi_posse,0.0119484960741481,4,3
peer_ret,0.353885672496725,4,6
EFIT,0.18922035213258,4,6
reversao,0.0811433613774735,4,6
log_tamanho,0.063138570207491,4,6
dem_pct_w,0.0584578510419763,4,6
mom_12m,0.0564929436526246,4,6
prox_52w_high,0.0455562808798227,4,6
delta_breadth_w,0.0425416900454816,4,6
eigen_cent,0.0315905434825642,4,6
idio_vol_12m,0.0314661358219782,4,6
hhi_posse,0.0251730664166724,4,6
deg_avg,0.0213335324446112,4,6
