spec,K,h,n_meses,ret_medio_pct,t_fm,p_fm,n_par_mes_min,n_par_mes_mediana
R1_liquido_reversao,3,1,24,0.512570003245337,0.787374465170965,0.439101813765701,248,349.5
R1_liquido_continuacao,3,1,24,-0.512570003245337,-0.787374465170965,0.439101813765701,248,349.5
R1_liquido_reversao,3,3,22,-0.644919857533971,-1.24143221119884,0.22813437238864,212,335
R1_liquido_continuacao,3,3,22,0.644919857533971,1.24143221119884,0.22813437238864,212,335
R1_liquido_reversao,6,1,24,-0.997339839004873,-1.75446941435055,0.0926656613565428,229,323.5
R1_liquido_continuacao,6,1,24,0.997339839004873,1.75446941435055,0.0926656613565428,229,323.5
R1_liquido_reversao,6,3,22,-1.14783724301443,-1.83052065754736,0.0814020142191202,201,312
R1_liquido_continuacao,6,3,22,1.14783724301443,1.83052065754736,0.0814020142191202,201,312
R2_completo_continuacao,3,1,24,0.250838850327327,0.492365122682359,0.62712841731486,1391,1571
R2_completo_continuacao,3,3,22,0.592782086450447,1.3545827874138,0.18994636363851,1391,1510.5
R2_completo_continuacao,6,1,24,1.01103179181149,2.25099883751119,0.0342434555984886,1337,1469.5
R2_completo_continuacao,6,3,22,0.814093557417288,1.74261301356732,0.096028227773884,1325,1450
