ticker,ym,peer_ret,n_peers
AALR3,201701,0.110832259549592,45
ABCB4,201701,0.0794114657180573,42
ABEV3,201701,0.0684690885134353,44
AFLT3,201701,-0.0174985144080719,7
AFLU3,201701,-0.0153448409620451,6
AGRO3,201701,0.0668477885555476,35
ALPA3,201701,0.0896039011378394,32
ALPA4,201701,0.0790446730644973,46
ALSC3,201701,0.107043708419541,46
ALUP11,201701,0.0748164481230837,49
ALUP3,201701,0.10619287635226,35
ALUP4,201701,0.0742379656707958,34
AMAR3,201701,0.106683745949688,42
ANIM3,201701,0.0784088957364604,45
ARZZ3,201701,0.0770392599477472,42
BBAS3,201701,0.0735712210286426,51
BBDC3,201701,0.0657841983324694,48
BBDC4,201701,0.0745967118603927,49
BBRK3,201701,0.0488417670415509,41
BBSE3,201701,0.100003826402949,48
BBTG11,201701,0.139680294552677,38
BEEF3,201701,0.0946919288053748,46
BMEB4,201701,0.0583199271978933,8
BOBR4,201701,0.0351046146198372,8
BPAN4,201701,0.0321594548943046,8
BRAP3,201701,0.159586912216818,34
BRAP4,201701,0.0906306661865591,50
BRFS3,201701,0.0689138275775334,49
BRIN3,201701,0.0729757020817152,35
BRIV3,201701,0.0756982145842271,8
BRKM3,201701,0.0711045835532828,35
BRKM5,201701,0.0807763100672361,48
BRML3,201701,0.0804479707806608,49
BRPR3,201701,0.112323278751152,46
BRSR6,201701,0.07135896116397,50
BSEV3,201701,0.0711184829551512,35
BTOW3,201701,0.092390520712819,46
BVMF3,201701,0.082276468983386,49
CCPR3,201701,0.208092993534392,27
CCRO3,201701,0.0895368502630743,48
CEBR3,201701,0.0573972082535186,8
CEBR5,201701,0.0767078687161853,8
CEBR6,201701,0.0486115653209888,14
CEEB3,201701,-0.0134514194829928,8
CEED3,201701,-0.0128771202723157,8
CEED4,201701,-0.010715369539694,8
CELP3,201701,0.0898944046128705,35
CEPE3,201701,-0.0202639806508051,8
CEPE5,201701,0.00200382623967084,12
CESP3,201701,0.0552873018526463,9
CESP6,201701,0.0815361210177119,54
CGAS3,201701,0.0939094834264164,33
CGAS5,201701,0.114467954527528,42
CIEL3,201701,0.082869117334272,51
CLSC4,201701,0.0413569698794697,37
CMIG3,201701,0.238506156913029,38
CMIG4,201701,0.0765587151229473,51
COCE5,201701,0.0985708186375332,23
CPFE3,201701,0.0662525901536783,51
CPLE3,201701,0.15953422644067,38
CPLE6,201701,0.0767787191821968,47
CPRE3,201701,0.0701123470087672,35
CRDE3,201701,0.0713766490169706,35
CSAN3,201701,0.0913166781720354,48
CSMG3,201701,0.100984017435702,51
CSNA3,201701,0.0730032475687946,48
CSRN3,201701,-0.0202639806508051,8
CSRN5,201701,-0.00952477292417244,9
CTAX3,201701,0.042366185888064,36
CTIP3,201701,0.098645972240299,48
CTNM3,201701,0.27558549252774,5
CTNM4,201701,0.309346772367057,5
CVCB3,201701,0.0964335057718932,50
CYRE3,201701,0.0759728084731189,48
DIRR3,201701,0.0900218014057485,44
DOHL4,201701,0.0775568600764933,14
DTEX3,201701,0.0766209445755677,47
ECOR3,201701,0.0836554590694482,48
EEEL3,201701,0.00766088145646447,7
EEEL4,201701,0.00713156486076337,8
