ticker,ym,peer_ret,n_peers
AALR3,201701,0.0896949179938559,55
ABCB4,201701,0.110657260150279,53
ABEV3,201701,0.0832983135740622,55
ALPA3,201701,0.0719834389005206,49
ALPA4,201701,0.0518753524420809,55
ALSC3,201701,0.100985728741788,55
ALUP11,201701,0.0923612007726943,53
ALUP3,201701,0.139975323896836,49
ALUP4,201701,0.0571630502783597,49
AMAR3,201701,0.105138396199108,55
ANIM3,201701,0.0876694012343639,55
ARZZ3,201701,0.0794472736023761,55
BBAS3,201701,0.0965917838068766,56
BBDC3,201701,0.0845004662488337,55
BBDC4,201701,0.0798950076651662,55
BBRK3,201701,0.0755589685314457,56
BBSE3,201701,0.0774054585263057,55
BBTG11,201701,0.0969236895901425,55
BEEF3,201701,0.087488416120776,55
BPHA3,201701,-0.024030226548731,15
BRAP3,201701,0.0869994876298701,55
BRAP4,201701,0.127934012473237,55
BRFS3,201701,0.0841548851956579,56
BRGE3,201701,0.0847551311369558,51
BRIN3,201701,0.0908445430086896,49
BRIV3,201701,0.0907408576912975,51
BRKM3,201701,0.080681279048469,42
BRKM5,201701,0.0805028892037923,55
BRML3,201701,0.0808465385854755,55
BRPR3,201701,0.0838060486786595,56
BRSR6,201701,0.126393493725413,55
BTOW3,201701,0.103086011976381,55
BVMF3,201701,0.0765483703632809,55
CAMB4,201701,0.14375069982327,42
CCPR3,201701,0.0887887071257764,51
CCRO3,201701,0.100650247984107,55
CCXC3,201701,0.0899787940874253,49
CELP3,201701,0.128493336778231,49
CESP3,201701,0.0890443317283087,53
CESP6,201701,0.0855648394347253,55
CGAS3,201701,0.087766482726933,55
CGAS5,201701,0.0868405957726414,55
CGRA3,201701,0.0866323629455465,51
CGRA4,201701,0.0876004324822089,54
CIEL3,201701,0.0804842952675876,55
CLSC4,201701,0.156582401097652,55
CMIG3,201701,0.0833945999920272,50
CMIG4,201701,0.115277523620937,55
COCE5,201701,0.033640550517713,42
CPFE3,201701,0.153062738283959,55
CPLE3,201701,0.144338624153874,55
CPLE6,201701,0.136469738790946,55
CPRE3,201701,0.0569913291718196,51
CRDE3,201701,0.0919684507336066,54
CRIV3,201701,0.0893392679447322,51
CSAN3,201701,0.0907688627832763,55
CSMG3,201701,0.0874604638143509,55
CSNA3,201701,0.0741941572739883,55
CTAX3,201701,0.0759023128287622,55
CTIP3,201701,0.144793791514422,55
CTNM4,201701,0.0741699211189558,51
CVCB3,201701,0.0825662809728302,55
CYRE3,201701,0.0755117165352154,55
DIRR3,201701,0.0879268588191868,58
DTEX3,201701,0.0859162106224688,55
ECOR3,201701,0.0927743823452224,55
EGIE3,201701,0.0853697969326401,55
ELET3,201701,0.0852769332508887,55
ELET6,201701,0.0884009161768138,55
ELPL4,201701,0.0801362008359203,55
EMBR3,201701,0.0815994495901781,55
ENBR3,201701,0.0735751902396407,55
ENEV3,201701,0.0924698548635252,54
ENGI11,201701,0.0848246956699922,55
ENGI3,201701,0.0761042371860018,35
ENGI4,201701,0.0740551739842725,49
ENMT3,201701,0.074531062671854,49
ENMT4,201701,0.0792083265962389,49
EQTL3,201701,0.0773612108914802,55
ESTC3,201701,0.0798892427767153,55
EUCA4,201701,0.0918364208874778,55
EVEN3,201701,0.0868609341718671,55
EZTC3,201701,0.0781792552031131,55
FESA4,201701,0.0866915262322409,54
FIBR3,201701,0.0827205940959543,55
FLRY3,201701,0.080076511749472,55
GEPA3,201701,-0.109886951752111,35
GEPA4,201701,-0.0497990394388803,35
GFSA3,201701,0.0758653925366782,55
GGBR3,201701,0.0956748309377003,55
GGBR4,201701,0.0786125993722926,56
GOAU3,201701,0.0925259418237553,54
GOAU4,201701,0.127249203387345,55
GOLL4,201701,0.0824964670472656,55
GPCP3,201701,0.0900495532073139,42
GRND3,201701,0.088221147077293,55
GSHP3,201701,0.087369294667843,50
GUAR3,201701,0.091438968378496,55
GUAR4,201701,0.106281867150978,55
HBOR3,201701,0.0735848196398653,55
HGTX3,201701,0.0835601218448803,55
HYPE3,201701,0.121925152487404,55
IDNT3,201701,0.0931041343055189,50
IGBR3,201701,0.097128236450875,50
IGTA3,201701,0.0794031991829455,56
INEP3,201701,0.0813381494689232,51
INEP4,201701,0.0768534156545893,49
ITSA3,201701,0.122624180012282,50
ITSA4,201701,0.0759259261235541,55
ITUB3,201701,0.0957451714636355,55
ITUB4,201701,0.0697188274481617,57
JBSS3,201701,0.0774387970722631,55
JHSF3,201701,0.215876340486057,50
JOPA3,201701,0.0911625038485304,51
JSLG3,201701,0.0455905749841495,52
KLBN11,201701,0.0965365841438908,55
KLBN3,201701,0.0729113764543013,51
KLBN4,201701,0.0573157338207178,52
KROT3,201701,0.0778482894104813,55
LAME3,201701,0.110501355796546,55
LAME4,201701,0.103062605186627,55
LCAM3,201701,0.105128830536706,46
LEVE3,201701,0.0866836353835653,53
LIGT3,201701,0.0876951816849121,55
LINX3,201701,0.103445720076829,55
LLIS3,201701,0.0835168167778034,49
LOGN3,201701,0.202545673699457,37
LPSB3,201701,0.0790331069000045,55
LREN3,201701,0.0837940091119125,55
LUPA3,201701,0.0912484750504034,49
MAGG3,201701,0.0907440243029312,53
MDIA3,201701,0.0561131291135141,55
MEAL3,201701,0.0853540691289226,55
MGEL4,201701,0.0930227092506875,51
MGLU3,201701,0.0791260114467114,50
MILS3,201701,0.0872589765362779,55
MLFT4,201701,0.0928263335710592,55
MMXM3,201701,0.0563715893551675,50
MPLU3,201701,0.0896265428411227,55
MRFG3,201701,0.0844011190119783,55
MRVE3,201701,0.0870607658995864,55
MTSA4,201701,0.0242063880339596,15
MULT3,201701,0.118346670119455,55
MYPK3,201701,0.0865657763670219,53
NATU3,201701,0.0923140387311193,55
ODPV3,201701,0.10236290972655,55
OFSA3,201701,0.0893628675674512,54
OGXP3,201701,0.0772170041654429,53
OIBR3,201701,0.138529909800883,54
OIBR4,201701,0.104651136606591,54
OSXB3,201701,0.0901717482621416,49
PARC3,201701,0.0890675190680098,55
PCAR4,201701,0.101265355351086,55
PDGR3,201701,0.0917271024744626,50
PETR3,201701,0.100130269817817,56
PETR4,201701,0.0890976281518445,56
PFRM3,201701,0.270731465643223,55
PINE4,201701,0.0779886703363003,42
PMAM3,201701,0.0601543538957822,50
PNVL3,201701,0.148855868755976,42
PNVL4,201701,0.104048209460547,55
POMO3,201701,0.0668562368773944,40
POMO4,201701,0.102901871674693,53
POSI3,201701,0.0851194109117657,49
PRIO3,201701,0.0845275939145041,54
PRML3,201701,0.075244867089695,57
PSSA3,201701,0.0882177636947751,55
PTBL3,201701,0.07429825224603,49
QGEP3,201701,0.0881056452121759,55
QUAL3,201701,0.0948366232411849,55
RADL3,201701,0.0781201914858526,55
RAPT3,201701,0.0865875516771437,52
RAPT4,201701,0.0735412764935138,55
RDNI3,201701,0.084641556107475,53
REDE3,201701,0.0690335493772911,49
REDE4,201701,0.0706681516042844,49
RENT3,201701,0.099356363642919,55
RLOG3,201701,0.100504890500443,55
RPAD3,201701,0.0853478970146433,51
RPMG3,201701,0.113585202847334,46
RSID3,201701,0.0885376476317002,50
RUMO3,201701,0.0872751067402405,55
SANB11,201701,0.0770200629979388,55
SANB4,201701,0.0876561179188226,55
