j,ym,i,cio,n_fundos_i,n_fundos_j
ALPA3,201702,AALR3,0.710140377813411,374,57
ALPA3,201703,AALR3,0.807674509936147,377,57
ALPA3,201710,AALR3,0.848668996944611,418,67
ALPA3,201711,AALR3,0.871099784629076,441,70
ALPA3,201801,AALR3,0.909964523159679,425,77
ALPA3,201802,AALR3,0.943097106313932,455,83
ALPA3,201803,AALR3,0.92119906879058,461,85
ALPA3,201804,AALR3,0.905651806359806,481,86
ALPA3,201805,AALR3,0.899921567661841,487,88
ALPA3,201806,AALR3,0.822326133910894,496,95
ALPA3,201807,AALR3,0.816785554868112,501,97
ALPA3,201810,AALR3,0.712421291432919,476,81
ALPA3,201811,AALR3,0.758579450122176,485,80
ALPA4,202008,ABEV3,0.701951127380548,1048,786
ALPA4,202009,ABEV3,0.804566814988814,1061,797
ALPA4,202010,ABEV3,0.779392099069901,1011,817
ALPA4,202011,ABEV3,0.783027569148086,1025,830
ALPA4,202012,ABEV3,0.713594946866861,1052,837
ALPA4,202108,ABEV3,0.745578762601885,1179,948
ALPA4,202109,ABEV3,0.729776662060936,1236,1025
ALPA4,202110,ABEV3,0.743229736422497,1296,1291
ALPA4,202111,ABEV3,0.77756126848298,1320,1321
ALPK3,202008,ALPA4,0.747278419618553,786,407
ALPK3,202009,ABEV3,0.820033524806521,1061,259
ALPK3,202009,ALPA4,0.810471387253311,797,259
ALPK3,202010,ABEV3,0.83516714324562,1011,270
ALPK3,202010,ALPA4,0.84862385136833,817,270
ALPK3,202011,ABEV3,0.89141296387104,1025,269
ALPK3,202011,ALPA4,0.865127254893192,830,269
ALPK3,202012,ABEV3,0.914822896326955,1052,228
ALPK3,202012,ALPA4,0.738666908381006,837,228
ALPK3,202101,ABEV3,0.956822215796923,1092,229
ALPK3,202102,ABEV3,0.96809100446562,1107,230
ALPK3,202103,ABEV3,0.949862475224142,1126,231
ALPK3,202104,ABEV3,0.962112378030081,1144,232
ALPK3,202105,ABEV3,0.950791952200559,1164,239
ALPK3,202106,ABEV3,0.935306171845346,1181,236
ALPK3,202107,ABEV3,0.941691195779357,1179,238
ALPK3,202108,ABEV3,0.932631102641178,1179,241
ALPK3,202108,ALPA4,0.745890605258676,948,241
ALPK3,202109,ABEV3,0.943676210774731,1236,243
ALPK3,202109,ALPA4,0.732053203219819,1025,243
ALPK3,202110,ABEV3,0.935344991532415,1296,242
ALPK3,202110,ALPA4,0.752591904394894,1291,242
ALPK3,202111,ABEV3,0.890299908157845,1320,243
ALPK3,202111,ALPA4,0.834468396709109,1321,243
ALPK3,202112,ALPA4,0.840576577626733,1329,248
ALSC3,201907,AALR3,0.731036512413336,480,640
ALSO3,201909,AALR3,0.736535343716971,474,666
ALSO3,201910,AALR3,0.722344289351638,473,682
ALSO3,201911,AALR3,0.74630754504573,404,698
ALSO3,202008,AALR3,0.731061378784252,402,810
ALSO3,202009,AALR3,0.752095026751087,403,803
