i,j,cio,ym
AFLT3,AFLU3,1,201701
AALR3,ALPA3,0.648325998795579,201701
ALUP3,ALUP4,0.845129072700925,201701
ALPA4,AMAR3,0.593314316313472,201701
ABEV3,BBDC3,0.714750566946081,201701
ALSC3,BBDC4,0.513650784822033,201701
ALSC3,BBTG11,0.496774600255658,201701
BBRK3,BBTG11,0.563392560335702,201701
ALUP11,BEEF3,0.702058165606309,201701
BAZA3,BNBR3,0.995455987387621,201701
BMEB4,BOBR4,1,201701
BMEB4,BPAN4,1,201701
BOBR4,BPAN4,1,201701
ABEV3,BRFS3,0.43405219632416,201701
AGRO3,BRIN3,0.99914190690676,201701
BMEB4,BRIV3,0.991380522899496,201701
BOBR4,BRIV3,0.991380522899496,201701
BPAN4,BRIV3,0.991380522899496,201701
AGRO3,BRKM3,0.999122468680226,201701
BRIN3,BRKM3,0.99826512859055,201701
ABCB4,BRKM5,0.466823973896643,201701
ABEV3,BRKM5,0.499700541714869,201701
BBDC3,BRKM5,0.425449025775668,201701
BBSE3,BRKM5,0.429070235174227,201701
BBRK3,BRML3,0.448761042193802,201701
BBTG11,BRML3,0.413625374061129,201701
BRAP3,BRML3,0.437444114744847,201701
AALR3,BRPR3,0.602235747242575,201701
BRAP4,BRSR6,0.460869079726903,201701
BRPR3,BTOW3,0.40595766008284,201701
ANIM3,BVMF3,0.415625051556754,201701
BBDC4,BVMF3,0.660872855966924,201701
BBSE3,BVMF3,0.613682520562419,201701
BRML3,BVMF3,0.440964861565037,201701
BRAP3,CAMB4,0.800707026473452,201701
BRML3,CAMB4,0.408013428002822,201701
BRGE3,CCPR3,0.544303463574176,201701
ABCB4,CCRO3,0.459513662397299,201701
ABEV3,CCRO3,0.590397450629267,201701
BBSE3,CCRO3,0.495498549173279,201701
BRKM5,CCRO3,0.595688567927659,201701
BRGE3,CCXC3,0.935886866564924,201701
CCPR3,CCXC3,0.509377491120824,201701
BMEB4,CEBR3,0.782525737820619,201701
BOBR4,CEBR3,0.782525737820619,201701
BPAN4,CEBR3,0.782525737820619,201701
BRIV3,CEBR3,0.775780775142919,201701
BMEB4,CEBR5,0.999999264841492,201701
BOBR4,CEBR5,0.999999264841492,201701
BPAN4,CEBR5,0.999999264841492,201701
BRIV3,CEBR5,0.99137979407767,201701
CEBR3,CEBR5,0.782961385765575,201701
BMEB4,CEBR6,0.453634727950572,201701
BOBR4,CEBR6,0.453634727950572,201701
BPAN4,CEBR6,0.453634727950572,201701
BRIV3,CEBR6,0.449724633801009,201701
CEBR3,CEBR6,0.529147704941527,201701
CEBR5,CEBR6,0.453826893523366,201701
AFLT3,CEEB3,1,201701
AFLU3,CEEB3,1,201701
AFLT3,CEED3,1,201701
AFLU3,CEED3,1,201701
CEEB3,CEED3,1,201701
AFLT3,CEED4,1,201701
AFLU3,CEED4,1,201701
CEEB3,CEED4,1,201701
CEED3,CEED4,1,201701
BBRK3,CELP3,0.801808821611588,201701
BBTG11,CELP3,0.69993558491826,201701
BRML3,CELP3,0.562096730888062,201701
AFLT3,CEPE3,1,201701
AFLU3,CEPE3,1,201701
CEEB3,CEPE3,1,201701
CEED3,CEPE3,1,201701
CEED4,CEPE3,1,201701
BBDC4,CEPE5,0.504884307014009,201701
CEBR3,CEPE5,0.615850574168866,201701
BBDC4,CEPE6,0.514646280592121,201701
CEBR3,CEPE6,0.508165204751119,201701
CEPE5,CEPE6,0.88382430513068,201701
BMEB4,CESP3,0.991175161481147,201701
BOBR4,CESP3,0.991175161481147,201701
BPAN4,CESP3,0.991175161481147,201701
BRIV3,CESP3,0.982634552321943,201701
CEBR3,CESP3,0.775620074547505,201701
CEBR5,CESP3,0.991174432810294,201701
CEBR6,CESP3,0.449631474729865,201701
ALSC3,CESP6,0.544789872471655,201701
