setor,ym,valor_setor,n_fundos_setor,n_tickers_setor,aum_total_mes,share_setor,share_prev1,share_prev3,delta_share_1m,delta_share_3m
"Alimentos, Bebidas e Agropecuaria",201704,2192982939.09214,1068,10,71529884098.216,0.0306582761420529,0.0295953537454796,0.0288947072909271,0.00106292239657323,0.00176356885112574
"Alimentos, Bebidas e Agropecuaria",201705,2288338657.35966,1104,10,69641670458.5266,0.0328587560047461,0.0306582761420529,0.0247447794865825,0.00220047986269328,0.00811397651816364
"Alimentos, Bebidas e Agropecuaria",201706,2599658646.15225,1095,10,69214733102.5099,0.037559324866601,0.0328587560047461,0.0295953537454796,0.00470056886185482,0.00796397112112133
"Alimentos, Bebidas e Agropecuaria",201707,2147180980.78303,1083,10,67346539531.8401,0.0318825732652215,0.037559324866601,0.0306582761420529,-0.00567675160137948,0.00122429712316862
"Alimentos, Bebidas e Agropecuaria",201708,2841565777.21176,1115,10,75727711489.0053,0.0375234603203916,0.0318825732652215,0.0328587560047461,0.00564088705517016,0.00466470431564549
"Alimentos, Bebidas e Agropecuaria",201709,3849348957.71871,1138,11,84659901739.7102,0.0454683844254115,0.0375234603203916,0.037559324866601,0.0079449241050199,0.00790905955881058
"Alimentos, Bebidas e Agropecuaria",201710,4120350406.61353,1149,11,87889104061.879,0.0468812425680499,0.0454683844254115,0.0318825732652215,0.00141285814263837,0.0149986693028284
"Alimentos, Bebidas e Agropecuaria",201711,4068193169.33896,1157,11,88307465319.936,0.0460685079636245,0.0468812425680499,0.0375234603203916,-0.000812734604425436,0.00854504764323283
"Alimentos, Bebidas e Agropecuaria",201712,3542960554.2739,1115,12,87692181695.9998,0.0404022398092021,0.0460685079636245,0.0454683844254115,-0.00566626815442241,-0.00506614461620947
"Alimentos, Bebidas e Agropecuaria",201801,2906569017.7391,1087,12,94549805856.5787,0.030741142103962,0.0404022398092021,0.0468812425680499,-0.0096610977052401,-0.0161401004640879
"Alimentos, Bebidas e Agropecuaria",201802,2786920350.94205,1068,12,97110292371.6627,0.0286985064392134,0.030741142103962,0.0460685079636245,-0.00204263566474859,-0.0173700015244111
"Alimentos, Bebidas e Agropecuaria",201803,2618558546.28418,1058,12,108484322569.548,0.0241376678607681,0.0286985064392134,0.0404022398092021,-0.0045608385784453,-0.016264571948434
"Alimentos, Bebidas e Agropecuaria",201804,2666147392.89124,1061,12,112852815596.265,0.0236249966720325,0.0241376678607681,0.030741142103962,-0.000512671188735624,-0.00711614543192952
"Alimentos, Bebidas e Agropecuaria",201805,2685715678.87057,1048,12,112393039639.731,0.0238957473476958,0.0236249966720325,0.0286985064392134,0.000270750675663328,-0.0048027590915176
"Alimentos, Bebidas e Agropecuaria",201806,2722747775.92038,1082,12,107697210646.92,0.0252815069170805,0.0238957473476958,0.0241376678607681,0.00138575956938476,0.00114383905631246
"Alimentos, Bebidas e Agropecuaria",201807,2340438324.68445,1088,12,104191187693.892,0.0224629201037668,0.0252815069170805,0.0236249966720325,-0.00281858681331375,-0.00116207656826566
"Alimentos, Bebidas e Agropecuaria",201808,2222572149.44564,1102,12,108043579827.41,0.0205710709789142,0.0224629201037668,0.0238957473476958,-0.00189184912485256,-0.00332467636878155
"Alimentos, Bebidas e Agropecuaria",201809,2105637914.02696,1076,12,106660522580.877,0.0197414925698524,0.0205710709789142,0.0252815069170805,-0.000829578409061837,-0.00554001434722815
"Alimentos, Bebidas e Agropecuaria",201810,1709256365.08245,1078,12,116108798282.466,0.0147211614482843,0.0197414925698524,0.0224629201037668,-0.00502033112156808,-0.00774175865548248
"Alimentos, Bebidas e Agropecuaria",201811,1882296877.47076,1134,13,131193687159.846,0.0143474653256553,0.0147211614482843,0.0205710709789142,-0.000373696122628995,-0.00622360565325891
"Alimentos, Bebidas e Agropecuaria",201812,1825780184.08161,1118,13,140270231627.397,0.0130161628942873,0.0143474653256553,0.0197414925698524,-0.00133130243136803,-0.0067253296755651
"Alimentos, Bebidas e Agropecuaria",201901,1789716441.87184,1105,13,142316178989.126,0.0125756358453706,0.0130161628942873,0.0147211614482843,-0.000440527048916676,-0.0021455256029137
"Alimentos, Bebidas e Agropecuaria",201902,2109219319.76285,1106,13,160744912098.041,0.0131215308293951,0.0125756358453706,0.0143474653256553,0.000545894984024496,-0.00122593449626021
"Alimentos, Bebidas e Agropecuaria",201903,3473035500.08789,1121,13,162201074038.707,0.0214119143209809,0.0131215308293951,0.0130161628942873,0.00829038349158584,0.00839575142669366
"Alimentos, Bebidas e Agropecuaria",201904,4935749574.94608,1153,13,162912423696.299,0.0302969501217863,0.0214119143209809,0.0125756358453706,0.00888503580080533,0.0177213142764157
"Alimentos, Bebidas e Agropecuaria",201905,4028744476.5149,1160,13,164994815118.071,0.0244174004718386,0.0302969501217863,0.0131215308293951,-0.00587954964994772,0.0112958696424435
"Alimentos, Bebidas e Agropecuaria",201906,4053915318.51393,1170,13,181024072690.824,0.022394343792263,0.0244174004718386,0.0214119143209809,-0.00202305667957555,0.000982429471282058
"Alimentos, Bebidas e Agropecuaria",201907,5496731004.62366,1180,13,189109026939.336,0.0290664654860021,0.022394343792263,0.0302969501217863,0.00667212169373912,-0.00123048463578415
"Alimentos, Bebidas e Agropecuaria",201908,7563659250.07906,1194,13,194213307753.444,0.0389451131725803,0.0290664654860021,0.0244174004718386,0.00987864768657822,0.0145277127007418
"Alimentos, Bebidas e Agropecuaria",201909,9137962352.26173,1237,13,207052548171.914,0.0441335421029184,0.0389451131725803,0.022394343792263,0.00518842893033809,0.0217391983106554
"Alimentos, Bebidas e Agropecuaria",201910,8046423226.90736,1246,13,220895558360.9,0.0364263694870726,0.0441335421029184,0.0290664654860021,-0.00770717261584589,0.00735990400107043
"Alimentos, Bebidas e Agropecuaria",201911,7472792076.78586,1208,13,224375513401.092,0.0333048466987908,0.0364263694870726,0.0389451131725803,-0.00312152278828175,-0.00564026647378955
"Alimentos, Bebidas e Agropecuaria",201912,7998590526.32665,1243,13,252163993347.622,0.0317197963917876,0.0333048466987908,0.0441335421029184,-0.00158505030700316,-0.0124137457111308
"Alimentos, Bebidas e Agropecuaria",202001,10432217505.2223,1296,13,288436917407.342,0.0361681077408323,0.0317197963917876,0.0364263694870726,0.00444831134904471,-0.000258261746240204
"Alimentos, Bebidas e Agropecuaria",202002,10789229353.1602,1311,13,318494156129.479,0.0338757529628706,0.0361681077408323,0.0333048466987908,-0.00229235477796174,0.00057090626407981
"Alimentos, Bebidas e Agropecuaria",202003,11857868683.0377,1349,13,285182474982.678,0.0415799346848294,0.0338757529628706,0.0317197963917876,0.00770418172195875,0.00986013829304171
"Alimentos, Bebidas e Agropecuaria",202004,9551812750.01067,1306,13,204172537148.607,0.0467830438089644,0.0415799346848294,0.0361681077408323,0.00520310912413501,0.010614936068132
"Alimentos, Bebidas e Agropecuaria",202005,10141507422.4549,1311,13,228072791871.752,0.0444660993502357,0.0467830438089644,0.0338757529628706,-0.00231694445872867,0.0105903463873651
"Alimentos, Bebidas e Agropecuaria",202006,9218558139.68865,1342,13,249404854213.553,0.036962224206732,0.0444660993502357,0.0415799346848294,-0.00750387514350372,-0.00461771047809739
"Alimentos, Bebidas e Agropecuaria",202007,9629706635.83746,1406,13,283083166709.971,0.0340172351035746,0.036962224206732,0.0467830438089644,-0.00294498910315739,-0.0127658087053898
"Alimentos, Bebidas e Agropecuaria",202008,10722678618.2466,1431,13,307767606232.894,0.0348401794116453,0.0340172351035746,0.0444660993502357,0.000822944308070735,-0.00962591993859037
"Alimentos, Bebidas e Agropecuaria",202009,9871430375.32823,1419,13,306678059731.494,0.0321882510407525,0.0348401794116453,0.036962224206732,-0.00265192837089281,-0.00477397316597947
