ticker,nome,setor
AALR3,ALLIAR ON NM,Outros/Nao classificado
ABCB4,ABC BRASIL PN N2,Outros/Nao classificado
ABEV3,AMBEV S/A ON,Outros/Nao classificado
AERI3,AERIS ON NM,Outros/Nao classificado
AESB3,AES BRASIL ON NM,Energia Eletrica
AFLT3,AFLUENTE T ON,Telecomunicacoes
AFLU3,AFLUENTE ON,Telecomunicacoes
AGRO3,BRASILAGRO ON NM,"Alimentos, Bebidas e Agropecuaria"
AGXY3,AGROGALAXY ON NM,"Alimentos, Bebidas e Agropecuaria"
ALLD3,ALLIED ON NM,Outros/Nao classificado
ALPA3,ALPARGATAS ON N1,Textil e Vestuario
ALPA4,ALPARGATAS PN N1,Textil e Vestuario
ALPK3,ESTAPAR ON NM,Outros/Nao classificado
ALSC3,ALIANSCE ON NM,Construcao e Imobiliario
ALSO3,ALIANSCSONAEON NM,Construcao e Imobiliario
ALUP11,ALUPAR UNT N2,Energia Eletrica
ALUP3,ALUPAR ON N2,Energia Eletrica
ALUP4,ALUPAR PN N2,Energia Eletrica
AMAR3,LOJAS MARISA ON NM,Varejo
AMBP3,AMBIPAR ON NM,Outros/Nao classificado
AMER3,AMERICANAS ON NM,Varejo
ANIM3,ANIMA ON NM,Educacao
APER3,ALPER S.A. ON NM,Outros/Nao classificado
ARML3,ARMAC ON NM,Transporte e Logistica
ARZZ3,AREZZO CO ON NM,Varejo
ASAI3,ASSAI ON NM,Varejo
ATMP3,ATMASA ON NM,Outros/Nao classificado
ATOM3,ATOMPAR ON,Outros/Nao classificado
AVLL3,ALPHAVILLE ON NM,Construcao e Imobiliario
AZEV3,AZEVEDO ON,Outros/Nao classificado
AZEV4,AZEVEDO PN,Outros/Nao classificado
AZUL4,AZUL PN N2,Transporte e Logistica
B3SA3,B3 ON NM,Infraestrutura de Mercado
BAHI3,BAHEMA ON,Outros/Nao classificado
BALM4,BAUMER PN,Outros/Nao classificado
BAUH4,EXCELSIOR PN,Outros/Nao classificado
BAZA3,AMAZONIA ON,Bancos
BBAS3,BRASIL ON NM,Outros/Nao classificado
BBDC3,BRADESCO ON N1,Bancos
BBDC4,BRADESCO PN N1,Bancos
BBRK3,BR BROKERS ON NM,Outros/Nao classificado
BBSE3,BBSEGURIDADE ON NM,Seguros
BBTG11,BTG PACTUAL UNT,Bancos
BEEF11,MINERVA UNIT,"Alimentos, Bebidas e Agropecuaria"
BEEF3,MINERVA ON NM,"Alimentos, Bebidas e Agropecuaria"
BEES3,BANESTES ON,Bancos
BGIP4,BANESE PN,Bancos
BIDI11,BANCO INTER UNT N2,Bancos
BIDI3,BANCO INTER ON N2,Bancos
BIDI4,BANCO INTER PN N2,Bancos
BIOM3,BIOMM ON,Outros/Nao classificado
BKBR3,BK BRASIL ON NM,"Alimentos, Bebidas e Agropecuaria"
BLAU3,BLAU ON NM,Saude
BMEB4,MERC BRASIL PN,Bancos
BMGB11,BANCO BMG UNT N1,Bancos
BMGB4,BANCO BMG PN N1,Bancos
BMIN4,MERC INVEST PN,Bancos
BMOB3,BEMOBI TECH ON NM,Tecnologia
BMTO4,BRASMOTOR PN,Outros/Nao classificado
BNBR3,NORD BRASIL ON,Bancos
BOAS3,BOA VISTA ON NM,Varejo
BOBR4,BOMBRIL PN,Outros/Nao classificado
BPAC11,BTGP BANCO UNT,Bancos
BPAC3,BTGP BANCO ON,Bancos
BPAC5,BTGP BANCO PNA,Bancos
BPAN4,BANCO PAN PN N1,Bancos
BPHA3,BR PHARMA ON NM,Outros/Nao classificado
BRAP3,BRADESPAR ON N1,Mineracao e Siderurgia
BRAP4,BRADESPAR PN N1,Mineracao e Siderurgia
BRBI11,BR PARTNERS UNT N2,Outros/Nao classificado
BRDT3,PETROBRAS DISTRIB ON,Petroleo e Gas
BRFS3,BRF SA ON NM,"Alimentos, Bebidas e Agropecuaria"
BRGE3,ALFA CONSORC ON,Bancos
BRIN3,BR INSURANCE ON NM,Seguros
BRIT3,BRISANET ON NM,Telecomunicacoes
BRIV3,ALFA INVEST ON,Bancos
BRIV4,ALFA INVEST PN,Bancos
BRKM3,BRASKEM ON N1,Quimicos e Petroquimicos
BRKM5,BRASKEM PNA N1,Quimicos e Petroquimicos
BRML3,BR MALLS PAR ON NM,Construcao e Imobiliario
BRPR3,BR PROPERT ON NM,Construcao e Imobiliario
BRSR3,BANRISUL ON N1,Bancos
BRSR6,BANRISUL PNB N1,Bancos
BSEV3,BIOSEV ON NM,Outros/Nao classificado
BTOW3,B2W DIGITAL ON NM,Outros/Nao classificado
BTTL3,BATTISTELLA ON,Industria e Bens de Capital
BTTL4,BATTISTELLA PN,Industria e Bens de Capital
BVMF3,BMFBOVESPA ON NM,Infraestrutura de Mercado
CAMB3,CAMBUCI ON,Textil e Vestuario
CAMB4,CAMBUCI PN,Textil e Vestuario
CAML3,CAMIL ON NM,"Alimentos, Bebidas e Agropecuaria"
CARD3,CSU CARDSYST ON NM,Outros/Nao classificado
CASH3,MELIUZ ON NM,Varejo
CBAV3,CBA ON NM,Mineracao e Siderurgia
CBEE3,AMPLA ENERG ON,Energia Eletrica
CBOH3,CBOHON,Energia Eletrica
CCPR3,CYRE COM-CCP ON NM,Outros/Nao classificado
CCRO3,CCR SA ON NM,Transporte e Logistica
CCXC3,CCX CARVAO ON NM,Outros/Nao classificado
CEAB3,CEA MODAS ON NM,Varejo
CEBR3,CEB ON,Energia Eletrica
CEBR5,CEB PNA,Energia Eletrica
CEBR6,CEB PNB,Energia Eletrica
CEEB3,COELBA ON,Energia Eletrica
CEEB5,COELBA PNA,Energia Eletrica
CEED3,CEEE-D ON N1,Energia Eletrica
CEED4,CEEE-D PN N1,Energia Eletrica
CELP3,CELPA ON,Energia Eletrica
CELP5,CELPA PNA,Energia Eletrica
CEPE3,CELPE ON,Energia Eletrica
CEPE5,CELPE PNA,Energia Eletrica
CEPE6,CELPE PNB,Energia Eletrica
CESP3,CESP ON N1,Outros/Nao classificado
CESP6,CESP PNB N1,Outros/Nao classificado
CGAS3,COMGAS ON,Saneamento e Gas
CGAS5,COMGAS PNA,Saneamento e Gas
CGRA3,GRAZZIOTIN ON,Textil e Vestuario
CGRA4,GRAZZIOTIN PN,Textil e Vestuario
CIEL3,CIELO ON NM,Infraestrutura de Mercado
CLSA3,CLEARSALE ON NM,Tecnologia
CLSC3,CELESC ON N2,Energia Eletrica
CLSC4,CELESC PN N2,Energia Eletrica
CMIG3,CEMIG ON N1,Energia Eletrica
CMIG4,CEMIG PN N1,Energia Eletrica
CMIN3,CSNMINERACAOON N2,Mineracao e Siderurgia
CNTO3,CENTAURO ON NM,Varejo
COCE3,COELCE ON,Energia Eletrica
COCE5,COELCE PNA,Energia Eletrica
COGN3,COGNA ON ON NM,Educacao
CPFE3,CPFL ENERGIA ON NM,Energia Eletrica
CPLE11,COPEL UNT N1,Energia Eletrica
CPLE3,COPEL ON N1,Energia Eletrica
CPLE6,COPEL PNB N1,Energia Eletrica
CPRE3,CPFL RENOVAV ON NM,Energia Eletrica
CRDE3,CR2 ON NM,Construcao e Imobiliario
CREM3,CREMER ON NM,Outros/Nao classificado
CRFB3,CARREFOUR BR ON NM,Varejo
CRIV3,ALFA FINANC ON,Bancos
CRIV4,ALFA FINANC PN,Bancos
CRPG5,CRISTAL PNA,Outros/Nao classificado
CRPG6,CRISTAL PNB,Outros/Nao classificado
